,Unnamed: 0,Skill score,Fold averaging,AEZ
0,0.0,0.5261937814727353,Standard,semiarid low
1,1.0,0.034495524109438,Standard,arid high
2,2.0,0.1343024409127783,Standard,humid low
3,3.0,0.0274691418451473,Standard,subhumid low
4,4.0,-0.2291584145609122,Standard,humid high
5,5.0,0.568930920207708,Pooling,semiarid low
6,6.0,0.0897870172869378,Pooling,arid high
7,7.0,0.2350985652630353,Pooling,humid low
8,8.0,0.2186358553857624,Pooling,subhumid low
9,9.0,0.1260724247296962,Pooling,humid high
10,0.0,0.5460859211959935,Standard,semiarid low
11,1.0,-0.0690023989139834,Standard,arid high
12,2.0,0.2996930409094969,Standard,humid low
13,3.0,0.0441213145336232,Standard,subhumid low
14,4.0,-0.6348017454592488,Standard,humid high
15,5.0,0.5606130594366554,Pooling,semiarid low
16,6.0,0.0568208589347679,Pooling,arid high
17,7.0,0.2777324157237839,Pooling,humid low
18,8.0,0.2734252702199032,Pooling,subhumid low
19,9.0,-0.0781961073500143,Pooling,humid high
20,0.0,0.5710903202616736,Standard,semiarid low
21,1.0,-0.3842962538783991,Standard,arid high
22,2.0,-0.1897399820419731,Standard,humid low
23,3.0,0.2324618560992928,Standard,subhumid low
24,4.0,-0.3833996964994076,Standard,humid high
25,5.0,0.5647835745864869,Pooling,semiarid low
26,6.0,-0.4567571869727163,Pooling,arid high
27,7.0,0.2733436369998835,Pooling,humid low
28,8.0,0.3047335072679835,Pooling,subhumid low
29,9.0,0.058656042279054,Pooling,humid high
30,0.0,0.5608388502201137,Standard,semiarid low
31,1.0,-0.2577407423691837,Standard,arid high
32,2.0,0.2031961747085321,Standard,humid low
33,3.0,0.2441152391890611,Standard,subhumid low
34,4.0,-0.2875113058852771,Standard,humid high
35,5.0,0.5668224931041822,Pooling,semiarid low
36,6.0,-0.1243195059055741,Pooling,arid high
37,7.0,0.2802402892802987,Pooling,humid low
38,8.0,0.2936638091688409,Pooling,subhumid low
39,9.0,0.0720150489397803,Pooling,humid high
40,0.0,0.5253644660507041,Standard,semiarid low
41,1.0,-0.1818449723077739,Standard,arid high
42,2.0,-0.2008108102343093,Standard,humid low
43,3.0,0.1446964847883545,Standard,subhumid low
44,4.0,-0.7582498169565882,Standard,humid high
45,5.0,0.5585046323331295,Pooling,semiarid low
46,6.0,-0.0004361529400525,Pooling,arid high
47,7.0,0.2363525020412926,Pooling,humid low
48,8.0,0.2885203130823703,Pooling,subhumid low
49,9.0,0.0066180512169226,Pooling,humid high
0,,0.5468940713395901,Standard,semiarid low
1,,-0.07383900850899013,Standard,arid high
2,,0.24521926639604166,Standard,humid low
3,,0.23917360157666842,Standard,subhumid low
4,,-0.42996532745019034,Standard,humid high
5,,0.5767390513493367,Pooling,semiarid low
6,,0.002686956798573892,Pooling,arid high
7,,0.2463839962673512,Pooling,humid low
8,,0.3052925829295565,Pooling,subhumid low
9,,0.07015100149874864,Pooling,humid high
0,,0.5745823062060186,Standard,semiarid low
1,,-0.2449438083582479,Standard,arid high
2,,0.15657543543566205,Standard,humid low
3,,0.20995574606375592,Standard,subhumid low
4,,-0.4118037973421753,Standard,humid high
5,,0.5894359530277122,Pooling,semiarid low
6,,-0.4546751138136318,Pooling,arid high
7,,0.2952875306193865,Pooling,humid low
8,,0.2941110696980993,Pooling,subhumid low
9,,-0.12433128151554551,Pooling,humid high
0,,0.5421986905733583,Standard,semiarid low
1,,-0.0711994781590016,Standard,arid high
2,,0.22184716597100218,Standard,humid low
3,,0.22368846134876366,Standard,subhumid low
4,,-0.11638522089271397,Standard,humid high
5,,0.5650152698725885,Pooling,semiarid low
6,,-0.013275604087739756,Pooling,arid high
7,,0.24262218593257912,Pooling,humid low
8,,0.2806932538203504,Pooling,subhumid low
9,,0.14595559743403275,Pooling,humid high
0,,0.5464488330695597,Standard,semiarid low
1,,0.055852463757693704,Standard,arid high
2,,0.15009010865322484,Standard,humid low
3,,0.08601503084980684,Standard,subhumid low
4,,-0.46586796413202547,Standard,humid high
5,,0.5703210919243185,Pooling,semiarid low
6,,0.07417146859380508,Pooling,arid high
7,,0.2551615537151525,Pooling,humid low
8,,0.2576593365635481,Pooling,subhumid low
9,,0.026656561208011853,Pooling,humid high
0,,0.5522973957290684,Standard,semiarid low
1,,-0.024171947312703956,Standard,arid high
2,,-0.46075662624698843,Standard,humid low
3,,0.13112095570033852,Standard,subhumid low
4,,-0.1770250780811901,Standard,humid high
5,,0.5696260060660132,Pooling,semiarid low
6,,0.01587342013944182,Pooling,arid high
7,,0.26143123760643905,Pooling,humid low
8,,0.2964591874767052,Pooling,subhumid low
9,,0.02789925950203298,Pooling,humid high
